mice_ID,exp_cond,estrous_stage,state_before,retrieval_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,state_after_comment,1h_food_consumption_after,exp_time,prev_exp,exp_date
BRZZ410.4g,novel_env,,,,,,Agg-,,,,,1,,20/03/20
BRZZ410.4f,novel_env,,,,,,Agg-,,,,,1,,20/03/20
BRZZ374.3h,novel_env,,,,,,Agg-,,,,,1,,20/03/20
BRZZ374.3i,novel_env,,,,,,Agg-,,,,,1,,20/03/20
BRZZ374.3g,novel_env,,,,,,Agg-,,,,,1,,20/03/20
BRZZ410.4e,novel_env,,,,,,Agg-,,,,,1,,20/03/20
BRZZ410.4h,novel_env,,,,,,Agg-,,,,,1,,20/03/20
BRZZ109.6e,all_stressor_plus_food,E,Parental-,,,,Agg-,,Parental-,,,1,,29/12/19
BRZZ109.6c,all_stressor_plus_food,D,Parental+,86,retrieve both pups,,Agg-,,Parental+,,,1,,29/12/19
BRZZ132.5g,all_stressor_plus_food,D,Parental-,,nest building but no other parental acts ,,Agg-,,Parental+,,,2,food_deprivation(7),29/12/19
BRZZ200.5f,all_stressor_plus_food,M,Parental+,137,retrieve both pups,,Agg-,,Parental+,,,2,food_deprivation(9),30/12/19
JKAM2.2e,all_stressor_plus_food,D,Parental+,148,retrieve both pups,,Agg-,,Parental+,,,2,,30/12/19
BRZZ200.5e,all_stressor_plus_food,D,Parental+,,build a nest around the pups,,Agg-,,Parental+,,,2,food_deprivation(10),31/12/19
BRZZ260.2h,all_stressor_plus_food,E,Parental+,,build a nest around the pups,,Agg-,,Parental+,,,2,all_stressor_5h(7),02/01/20
BRZZ132.5f,all_stressor_plus_food,D,Parental+,,build a nest around the pups,,Agg-,,Parental+,,,2,all_stressor_5h(7),02/01/20
BRAC4857.7h,all_stressor_plus_food,D,Parental-,,,,Agg-,,Parental+,,,1,,11/11/20
BRAC5178.2h,all_stressor_plus_food,P,Parental+,385,retrieve both pups,,Agg-,,Parental+,,,1,,11/11/20
BRAC4857.7k,all_stressor_plus_food,M,Parental+,121,retrieve both pups,,Agg-,,Parental+,,,1,,11/11/20
BRAC4857.7i,all_stressor_plus_food,M,Parental+,299,retrieve both pups,,Agg-,,Parental+,,,1,,11/11/20
BRAC5163.3g,all_stressor_plus_food,E,Parental+,,build a nest around the pups,,Agg-,,Parental+,,,1,,11/11/20
BRAC5163.3f,all_stressor_plus_food,M,Parental-,,,,Agg-,,Parental+,,,1,,11/11/20
