mice_ID,exp_cond,deprivation_duration,birth_date,estrous_stage,state_before,retrieval_before_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,1h_food_consumption_after,target_before,target_before_latency,target_2_before,litter_size,target,target_after,target_after_latency,target_2_after,exp_time,prev_exp,exp_date
BRAC4943.6b,food_deprivation,,17/10/20,D,Parental-,,show pup-directed aggression(latency 486),0.2,Agg+,193,,,,0.7,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,20/12/20
BRAC5007.4d,food_deprivation,,16/10/20,D,Parental-,,,0.1,Agg-,,Parental+,470,retrieve both pups,0.7,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,20/12/20
BRAC5007.4c,food_deprivation,,16/10/20,D,Parental+,476,retrieve both pups,0.2,Agg+,568,,,retrieve the other pup to the nest,0.7,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,20/12/20
BRAC4943.6c,food_deprivation,,17/10/20,P,Parental+,,build a nest around the pups (late onset),0,Agg+,114,,,,0.8,Agg-,,Agg-,,intruder,Agg-,,Agg-,1,,20/12/20
BRAC5163.3h,food_deprivation,,,M,Parental+,,build a nest around the pups,,Agg-,,Parental+,,build a nest around the pups,,,,,,pup,,,,2,food_deprivation(4),15/11/20
BRAC4857.7j,food_deprivation,,,P,Parental+,,"retrieve both pups, no one way retrieval",,Agg+,145,,,,,,,,,pup,,,,2,food_deprivation(4),15/11/20
BRAC5163.3h,food_deprivation,,,M,Parental+,2,"retrieve both pups, retrieve the second one a few minutes later",,Agg-,,Parental+,180,retrieve both pups,0.4,,,,,pup,,,,3,food_deprivation(4),19/11/20
BRAC4857.7j,food_deprivation,,,M,Parental+,,build a nest around the pups,0.6,Agg-,,Parental+,,long grooming time,0.6,,,,,pup,,,,3,food_deprivation(4),19/11/20
BRAC5163.3h,food_deprivation,,,D,Parental+,,retrieve both pups,0.1,Agg-,,Parental+,,build a nest around the pups,,,,,,pup,,,,4,food_deprivation(4),23/11/20
BRAC4857.7j,food_deprivation,,,D,Parental+,,retrieve both pups,0.6,Agg-,,Parental+,62,retrieve both pups,,,,,,pup,,,,4,food_deprivation(4),23/11/20
BRAC4709.7c,food_deprivation,,,P,Parental+,,build a nest around the pups (only for one pup),0.2,Agg-,,Parental+,,build a nest around the pups(only for one pup),0.8,,,,,pup,,,,2,food_deprivation(4),26/11/20
BRAC4709.7d,food_deprivation,,,M,Parental+,,build a nest around the pups,0.3,Agg-,,Parental+,,long bouts of grooming and crouching,0.3,,,,,pup,,,,2,food_deprivation(4),26/11/20
BRAC4742.4b,food_deprivation,,,P,Parental+,,build a nest around the pups,0.1,Agg-,,Parental+,,build a nest around the pups,0.4,,,,,pup,,,,2,food_deprivation(4),26/11/20
BRAC4742.4c,food_deprivation,,,E,Parental+,,build a nest around the pups,0.2,Agg-,,Parental+,,build a nest around the pups,0.5,,,,,pup,,,,2,food_deprivation(4),26/11/20
BRAC4709.7c,food_deprivation,,,P,Parental+,,build a nest around the pups,0.4,Agg-,,Parental+,12,retrieve both pups,0.4,,,,,pup,,,,3,food_deprivation(4),30/11/20
BRAC4709.7d,food_deprivation,,,M,Parental+,193,retrieve both pups,0.2,Agg-,,Parental+,,build a nest around the pups (very slow onset),0.6,,,,,pup,,,,3,food_deprivation(4),30/11/20
BRAC4742.4b,food_deprivation,,,E,Parental+,,build a nest around the pups (only for one pup),0,Agg-,,Parental+,3,retrieve both pups,0.5,,,,,pup,,,,3,food_deprivation(4),30/11/20
BRAC4742.4c,food_deprivation,,,P,Parental+,,build a nest around the pups (late onset),0.1,Agg-,,Parental+,,build a nest around the pups,0.2,,,,,pup,,,,3,food_deprivation(4),30/11/20
BRAC5178.2i,food_deprivation,,,P,Parental-,,retrieve both but not parental,0,Agg-,,Parental+,,retrieve both pups,0.2,,,,,pup,,,,2,food_deprivation(4),07/12/20
BRAC4908.4e,food_deprivation,,,P,Parental-,,,0.4,Agg-,,Parental-,,,0.8,,,,,pup,,,,2,food_deprivation(4),07/12/20
BRAC5178.2j,food_deprivation,,,P,Parental+,140,retrieve both pups,0.2,Agg+,190,,,,1,,,,,pup,,,,2,food_deprivation(4),07/12/20
BRAC5215.1c,food_deprivation,,,E,Parental+,167,"retrieve both pups, initial contact with the pups a bit aggressive, video unplugged in middle",0.1,Agg-,,Parental+,74,retrieve both pups,0.3,,,,,pup,,,,2,food_deprivation(4),07/12/20
BRAC4673.7b,food_deprivation,,,P,Parental-,,retrieve one and attempt to build a nest around the other but not enough parenting time,,Agg-,,Parental+,,build a nest around the pups,,,,,,pup,,,,2,food_deprivation(4),07/12/20
BRAC5215.1d,food_deprivation,,,E,Parental+,,"retrieve both pups but not directly to the nest, video unplugged in middle",0.2,Agg+,77,,,"weirdly, pup was first retrieved to the nest",0.5,,,,,pup,,,,2,food_deprivation(4),07/12/20
BRAC4908.4f,food_deprivation,,,E,Parental+,248,retrieve both pups,0,Agg-,,Parental+,13,retrieve one pups,0.4,,,,,pup,,,,2,food_deprivation(4),07/12/20
BRAC4673.7c,food_deprivation,,,E,Parental-,,,0.1,Agg-,,Parental-,,,0.6,,,,,pup,,,,2,food_deprivation(4),07/12/20
BRAC5204.2i,food_deprivation,347,17/10/20,D,Parental+,,,0.2,Agg-,,Parental+,111,retrieve both pups,0.8,,,,,maze,,,,1,,12/01/21
BRAC5266.1g,food_deprivation,334,18/10/20,D,Parental-,,,0,Agg-,,Parental-,,,0.1,,,,,maze,,,,1,,12/01/21
BRAC5266.1f,food_deprivation,334,18/10/20,M,Parental-,,,0,Agg+,292,,,,0.7,,,,,maze,,,,1,,12/01/21
BRAC5204.2j,food_deprivation,347,17/10/20,M,Parental-,,,0.1,Agg+,162,,,,0.6,,,,,maze,,,,1,,12/01/21
BRAC5195.3c,food_deprivation,341,17/10/20,D,Parental-,,,0.2,Agg-,,Parental-,,,0.4,,,,,maze,,,,1,,13/01/21
BRAC5195.3e,food_deprivation,341,17/10/20,,Parental-,,,0.3,Agg-,,,,,0.3,,,,,maze,,,,1,,13/01/21
BRAC5195.3d,food_deprivation,339,17/10/20,P,Parental+,386,retrieve one pup and build the nest around the pups( the other pup crawl to the nest),0.2,Agg+,111,,,,0.8,,,,,maze,,,,1,,13/01/21
BRAC5204.2h,food_deprivation,339,17/10/20,M,Parental-,,,,Agg+,273,,,,1.1,,,,,maze,,,,1,,13/01/21
BRAC5048.5e,food_deprivation,332,18/10/20,P,Parental+,254,retrieve both pups,0.1,Agg+,306,,,,0.7,,,,,maze,,,,1,,14/01/21
BRAC5081.3c,food_deprivation,332,17/10/20,M,Parental-,,,0,Agg+,429,,,,0.7,,,,,maze,,,,1,,14/01/21
BRAC5081.3e,food_deprivation,344,17/10/20,P,Parental-,,,0.1,Agg+,56,,,,0.6,,,,,maze,,,,1,,14/01/21
